Nodes,AverageJumps
5,0.6
505,4.78059
1005,5.75045
1505,6.12545
2005,6.50314
2505,6.75537
3005,6.93331
3505,7.07549
4005,7.24744
4505,7.36404
5005,7.50809
5505,7.58565
6005,7.65652
6505,7.74804
7005,7.84011
7505,7.89807
8005,7.96807
8505,8.05966
9005,8.11578
9505,8.19087
10005,8.22769
10505,8.27345
11005,8.31587
11505,8.34039
12005,8.37856
12505,8.43616
13005,8.49844
13505,8.5197
14005,8.5553
14505,8.59992
15005,8.63688
15505,8.69863
16005,8.74094
16505,8.78176
17005,8.82847
17505,8.84799
18005,8.87952
18505,8.90593
19005,8.92708
19505,8.94413
20005,8.96947
20505,8.99022
21005,9.02651
21505,9.06121
22005,9.0784
22505,9.08346
23005,9.11149
23505,9.13145
24005,9.15543
24505,9.18511
25005,9.1958
25505,9.21953
26005,9.224
26505,9.25099
27005,9.28341
27505,9.29169
28005,9.31106
28505,9.33878
29005,9.36229
29505,9.3864
30005,9.40851
30505,9.41052
31005,9.4325
31505,9.45339
32005,9.4814
32505,9.49573
33005,9.51163
33505,9.52811
34005,9.5475
34505,9.56982
35005,9.59188
35505,9.61665
36005,9.62409
36505,9.64031
37005,9.64912
37505,9.67138
38005,9.67415
38505,9.69093
39005,9.70025
39505,9.71121
40005,9.73353
40505,9.73927
41005,9.74643
41505,9.75363
42005,9.76569
42505,9.78122
43005,9.80141
43505,9.81055
44005,9.81067
44505,9.8234
45005,9.83956
45505,9.84643
46005,9.85488
46505,9.86116
47005,9.87484
47505,9.88735
48005,9.90645
48505,9.91908
49005,9.91933
49505,9.93615
50005,9.94927
50505,9.94671
51005,9.96603
51505,9.97805
52005,9.98775
52505,10.0026
53005,10.0052
53505,10.0119
54005,10.0253
54505,10.0326
55005,10.0427
55505,10.0556
56005,10.0582
56505,10.0741
57005,10.0856
57505,10.0906
58005,10.1057
58505,10.1169
59005,10.1232
59505,10.1337
60005,10.1485
60505,10.1514
61005,10.165
61505,10.186
62005,10.1932
62505,10.1995
63005,10.2166
63505,10.2156
64005,10.2317
64505,10.2459
65005,10.258
65505,10.2699
66005,10.2858
66505,10.2995
67005,10.2982
67505,10.31
68005,10.3185
68505,10.3283
69005,10.3351
69505,10.3379
70005,10.3478
70505,10.3508
71005,10.3637
71505,10.3661
72005,10.3776
72505,10.3814
73005,10.3878
73505,10.3999
74005,10.4018
74505,10.4133
75005,10.4245
75505,10.4284
76005,10.4332
76505,10.4459
77005,10.4531
77505,10.4535
78005,10.4561
78505,10.4628
79005,10.47
79505,10.4748
80005,10.4843
80505,10.4854
81005,10.4911
81505,10.4975
82005,10.501
82505,10.513
83005,10.5157
83505,10.5289
84005,10.5275
84505,10.5332
85005,10.5427
85505,10.5473
86005,10.5486
86505,10.5503
87005,10.5613
87505,10.5639
88005,10.5703
88505,10.5769
89005,10.5798
89505,10.5819
90005,10.587
90505,10.5961
91005,10.6062
91505,10.6083
92005,10.6091
92505,10.6173
93005,10.6247
93505,10.6336
94005,10.6391
94505,10.6377
95005,10.6476
95505,10.653
96005,10.6569
96505,10.664
97005,10.6747
97505,10.6725
98005,10.6812
98505,10.6874
99005,10.6923
99505,10.6948
